metric,neg_weight,down_blocks_0_attentions_0_transformer_blocks_0,down_blocks_0_attentions_1_transformer_blocks_0,down_blocks_1_attentions_0_transformer_blocks_0,down_blocks_1_attentions_1_transformer_blocks_0,down_blocks_2_attentions_0_transformer_blocks_0,down_blocks_2_attentions_1_transformer_blocks_0,up_blocks_1_attentions_0_transformer_blocks_0,up_blocks_1_attentions_1_transformer_blocks_0,up_blocks_1_attentions_2_transformer_blocks_0,up_blocks_2_attentions_0_transformer_blocks_0,up_blocks_2_attentions_1_transformer_blocks_0,up_blocks_2_attentions_2_transformer_blocks_0,up_blocks_3_attentions_0_transformer_blocks_0,up_blocks_3_attentions_1_transformer_blocks_0,up_blocks_3_attentions_2_transformer_blocks_0,mid_block_attentions_0_transformer_blocks_0
gamma_net_norm,0,5.798851,3.593104,5.758939,3.020610,5.109581,6.066370,7.239918,8.127918,7.402739,3.851662,5.144752,5.785973,4.004460,5.965414,4.874092,0.955571
beta_net_norm,0,4.584049,2.668613,4.591232,2.373226,4.706933,5.343728,6.127985,8.411180,8.190274,8.133108,8.860615,7.983789,8.949177,9.927767,9.800251,1.233564
gamma_net_norm,0.5,8.173250,4.469698,7.253055,3.599893,6.089171,6.921151,8.564743,10.097608,9.839051,5.454943,8.070223,9.602349,8.049704,12.359904,8.365478,1.349232
beta_net_norm,0.5,6.445345,3.304991,5.786393,2.819548,5.601606,6.097178,7.252044,10.442801,10.921955,11.561527,13.932288,13.315553,17.910051,20.489836,16.762695,1.740623
gamma_net_norm,1,10.548091,5.346500,8.747867,4.179531,7.069383,7.776126,9.890158,12.069095,12.279245,7.064854,10.999006,13.421495,12.096065,18.756142,11.859895,1.742897
beta_net_norm,1,8.307434,3.941948,6.982459,3.266724,6.497478,6.851019,8.376877,12.476250,13.656131,14.991000,19.004826,18.648378,26.871248,31.052692,23.726040,2.247688
gamma_pos_norm,-,5.798851,3.593104,5.758939,3.020610,5.109581,6.066370,7.239918,8.127918,7.402739,3.851662,5.144752,5.785973,4.004460,5.965414,4.874092,0.955571
gamma_na_norm,-,4.750762,1.754452,2.992308,1.161126,1.963662,1.711338,2.654050,3.950369,4.892144,3.235635,5.863383,7.642484,8.093826,12.794099,6.993063,0.787340
beta_pos_norm,-,4.584049,2.668613,4.591232,2.373226,4.706933,5.343728,6.127985,8.411180,8.190274,8.133108,8.860615,7.983789,8.949177,9.927767,9.800251,1.233564
beta_na_norm,-,3.726130,1.276341,2.395608,0.898877,1.798028,1.510449,2.253870,4.074458,5.475824,6.861447,10.146587,10.667238,17.922712,21.126450,13.927946,1.014142
